date,id,frequency,value
2019-09-14,my data,day,-0.0468927740221399
2019-09-15,my data,day,0.174982845011574
2019-09-16,my data,day,0.677315405567689
2019-09-17,my data,day,0.44564492143615
2019-09-18,my data,day,0.320301038262782
2019-09-19,my data,day,0.502417256890911
2019-09-20,my data,day,0.0926026188683473
2019-09-21,my data,day,-0.0985890757244916
2019-09-22,my data,day,-0.0468927740221399
2019-09-23,my data,day,1.10637066256697
2019-09-24,my data,day,0.984173053038053
2019-09-25,my data,day,2.10289446685931
2019-09-26,my data,day,0.502417256890911
2019-09-27,my data,day,0.916467103283282
2019-09-28,my data,day,1.31124742048829
2019-09-29,my data,day,-0.0468927740221399
2019-09-30,my data,day,0.581483323729896
2019-10-01,my data,day,0.44564492143615
2019-10-02,my data,day,0.320301038262782
2019-10-03,my data,day,0.529536886435562
2019-10-04,my data,day,0.353284151580376
2019-10-05,my data,day,-0.274092645150472
2019-10-06,my data,day,0.134723520045087
2019-10-07,my data,day,1.16194353444647
2019-10-08,my data,day,1.03189718732291
2019-10-09,my data,day,2.38076389725982
2019-10-10,my data,day,-0.0985890757244916
2019-10-11,my data,day,2.59040891308609
2019-10-12,my data,day,-0.0985890757244916
2019-10-13,my data,day,0.0484384143563325
2019-10-14,my data,day,0.606394312507516
2019-10-15,my data,day,0.415882016524097
2019-10-16,my data,day,0.353284151580376
2019-10-17,my data,day,-0.0468927740221399
2019-10-18,my data,day,-0.413339278219764
2019-10-19,my data,day,-0.274092645150472
2019-10-20,my data,day,-0.211744295391769
2019-10-21,my data,day,0.529536886435562
2019-10-22,my data,day,0.415882016524097
2019-10-23,my data,day,0.134723520045087
2019-10-24,my data,day,2.71898931886952
2019-10-25,my data,day,0.134723520045087
2019-10-26,my data,day,-0.274092645150472
2019-10-27,my data,day,-0.341045053651689
2019-10-28,my data,day,0.134723520045087
2019-10-29,my data,day,2.00712956812605
2019-10-30,my data,day,0.76410223620256
2019-10-31,my data,day,0.0926026188683473
2019-11-01,my data,day,-0.274092645150472
2019-11-02,my data,day,-0.211744295391769
2019-11-03,my data,day,-0.153405259788546
2019-11-04,my data,day,-0.0468927740221399
2019-11-05,my data,day,0.174982845011574
2019-11-06,my data,day,0.213539106686722
2019-11-07,my data,day,2.3087532965078
2019-11-08,my data,day,-0.0985890757244916
2019-11-09,my data,day,0.00202119853361138
2019-11-10,my data,day,0.502417256890911
2019-11-11,my data,day,0.529536886435562
2019-11-12,my data,day,0.213539106686722
2019-11-13,my data,day,0.654277477650386
2019-11-14,my data,day,0.353284151580376
2019-11-15,my data,day,0.76410223620256
2019-11-16,my data,day,0.415882016524097
2019-11-17,my data,day,0.502417256890911
2019-11-18,my data,day,0.502417256890911
2019-11-19,my data,day,0.44564492143615
2019-11-20,my data,day,0.353284151580376
2019-11-21,my data,day,1.9317282767876
2019-11-22,my data,day,0.213539106686722
2019-11-23,my data,day,0.174982845011574
2019-11-24,my data,day,0.213539106686722
2019-11-25,my data,day,0.44564492143615
2019-11-26,my data,day,-0.0468927740221399
2019-11-27,my data,day,0.474470773848331
2019-11-28,my data,day,0.134723520045087
2019-11-29,my data,day,-0.211744295391769
2019-11-30,my data,day,-0.413339278219764
2019-12-01,my data,day,-0.153405259788546
2019-12-02,my data,day,0.320301038262782
2019-12-03,my data,day,-0.211744295391769
2019-12-04,my data,day,0.213539106686722
2019-12-05,my data,day,1.6940731275791
2019-12-06,my data,day,0.286082434164443
2019-12-07,my data,day,-0.0985890757244916
2019-12-08,my data,day,-0.211744295391769
2019-12-09,my data,day,0.880664264055208
2019-12-10,my data,day,1.26407034811677
2019-12-11,my data,day,0.353284151580376
2019-12-12,my data,day,0.174982845011574
2019-12-13,my data,day,0.0926026188683473
2019-12-14,my data,day,-0.211744295391769
2019-12-15,my data,day,-0.413339278219764
2019-12-16,my data,day,0.134723520045087
2019-12-17,my data,day,0.250531396735008
2019-12-18,my data,day,1.76810118680148
2019-12-19,my data,day,0.250531396735008
2019-12-20,my data,day,0.00202119853361138
2019-12-21,my data,day,-0.0985890757244916
2019-12-22,my data,day,-0.0468927740221399
2019-12-23,my data,day,0.502417256890911
2019-12-24,my data,day,-0.274092645150472
2019-12-25,my data,day,-1.40418223395837
2019-12-26,my data,day,0.0926026188683473
2019-12-27,my data,day,-0.0985890757244916
2019-12-28,my data,day,-0.341045053651689
2019-12-29,my data,day,0.581483323729896
2019-12-30,my data,day,0.984173053038053
2019-12-31,my data,day,0.44564492143615
2020-01-01,my data,day,-0.0985890757244916
2020-01-02,my data,day,1.31124742048829
2020-01-03,my data,day,0.916467103283282
2020-01-04,my data,day,0.213539106686722
2020-01-05,my data,day,0.96770415330073
2020-01-06,my data,day,1.70933942271862
2020-01-07,my data,day,1.06240479954419
2020-01-08,my data,day,2.06673669019547
2020-01-09,my data,day,1.35617254275966
2020-01-10,my data,day,0.250531396735008
2020-01-11,my data,day,-0.77928928781907
2020-01-12,my data,day,0.0926026188683473
2020-01-13,my data,day,0.630647639213551
2020-01-14,my data,day,0.385118507763199
2020-01-15,my data,day,0.44564492143615
2020-01-16,my data,day,0.134723520045087
2020-01-17,my data,day,0.250531396735008
2020-01-18,my data,day,-0.274092645150472
2020-01-19,my data,day,0.0484384143563325
2020-01-20,my data,day,0.134723520045087
2020-01-21,my data,day,0.286082434164443
2020-01-22,my data,day,2.1856423321011
2020-01-23,my data,day,0.320301038262782
2020-01-24,my data,day,0.00202119853361138
2020-01-25,my data,day,0.529536886435562
2020-01-26,my data,day,0.213539106686722
2020-01-27,my data,day,0.320301038262782
2020-01-28,my data,day,0.0926026188683473
2020-01-29,my data,day,0.415882016524097
2020-01-30,my data,day,0.134723520045087
2020-01-31,my data,day,0.286082434164443
